SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
CHEL,Chromis elerae,Chromis elerae,NA,Species,Chromis,Pomacentridae,Twinspot Chromis,Damselfish,Damselfish,NA,7,0.0229,3.175,0.9049774,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Chromis spp.
CHFU,Chromis fumea,Chromis fumea,NA,Species,Chromis,Pomacentridae,Smokey Chromis,Damselfish,Damselfish,NA,10,0.0144,3.351,0.8695,FL,NA,0.8695,Pk,Planktivore,PLANKTIVORE,FishBase
CHHA,Chromis hanui,Chromis hanui,NA,Species,Chromis,Pomacentridae,Hawaiian Bicolor Chromis,Damselfish,Damselfish,NA,9,0.0229,3.175,0.89,FL,NA,0.89,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
CHIO,Chromis iomelas,Chromis iomelas,NA,Species,Chromis,Pomacentridae,Half-And-Half Chromis,Damselfish,Damselfish,NA,8,0.01505,3.38293,0.9,FL,NA,0.9,H,Herbivore,PRIMARY,Kulbicki 2005
CHLE,Chromis lepidolepis,Chromis lepidolepis,NA,Species,Chromis,Pomacentridae,Scaly Chromis,Damselfish,Damselfish,NA,8,0.19498,1.9385,0.92,FL,NA,0.92,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
CHLC,Chromis leucura,Chromis leucura,NA,Species,Chromis,Pomacentridae,Whitetail Chromis,Damselfish,Damselfish,NA,6.5,0.0229,3.175,0.91,FL,0.89,0.91,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
CHLN,Chromis lineata,Chromis lineata,NA,Species,Chromis,Pomacentridae,Lined Chromis,Damselfish,Damselfish,NA,7,0.0229,3.175,0.8643042,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis spp.
CHMA,Chromis margaritifer,Chromis margaritifer,NA,Species,Chromis,Pomacentridae,Bicolor Chromis,Damselfish,Damselfish,NA,8,0.0258,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for CHAM
CHOV,Chromis ovalis,Chromis ovalis,NA,Species,Chromis,Pomacentridae,Hawaiian Chromis,Damselfish,Damselfish,NA,19,0.0229,3.175,0.88,FL,0.88,0.88,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
CHRT,Chromis retrofasciata,Chromis retrofasciata,NA,Species,Chromis,Pomacentridae,Blackbar Chromis,Damselfish,Damselfish,NA,4,0.009,2.773,0.8244023,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
CHTE,Chromis ternatensis,Chromis ternatensis,NA,Species,Chromis,Pomacentridae,Ternate Chromis,Damselfish,Damselfish,NA,8,0.01597,3.408,0.88,FL,NA,0.88,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
CHVA,Chromis vanderbilti,Chromis vanderbilti,NA,Species,Chromis,Pomacentridae,Vanderbilt's Chromis,Damselfish,Damselfish,NA,15,0.0258,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for CHAM
CHVE,Chromis verater,Chromis verater,NA,Species,Chromis,Pomacentridae,Threespot Chromis,Damselfish,Damselfish,NA,22,0.0229,3.175,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
CHVR,Chromis viridis,Chromis viridis,NA,Species,Chromis,Pomacentridae,Blue Green Damselfish,Damselfish,Damselfish,NA,8,0.03507,2.89965,0.91,FL,NA,0.91,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
CHWE,Chromis weberi,Chromis weberi,NA,Species,Chromis,Pomacentridae,Weber's Chromis,Damselfish,Damselfish,NA,12,0.0229,3.175,0.85,FL,NA,0.85,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
CHXT,Chromis xanthochira,Chromis xanthochira,NA,Species,Chromis,Pomacentridae,Yellow-Axil Chromis,Damselfish,Damselfish,NA,14,0.0229,3.175,0.7490637,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Chromis spp.
CHXA,Chromis xanthura,Chromis xanthura,NA,Species,Chromis,Pomacentridae,Paletail Chromis,Damselfish,Damselfish,NA,15,0.009,2.773,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
CHBI,Chrysiptera biocellata,Chrysiptera biocellata,NA,Species,Chrysiptera,Pomacentridae,Twinspot Damselfish,Damselfish,Damselfish,NA,7,0.0239,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CHBR,Chrysiptera brownriggii,Chrysiptera brownriggii,NA,Species,Chrysiptera,Pomacentridae,Surge Damselfish,Damselfish,Damselfish,NA,9,0.0294,2.95049999,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for genus
CHRU,Chrysiptera caeruleolineata,Chrysiptera caeruleolineata,NA,Species,Chrysiptera,Pomacentridae,Blueline Damsel,Damselfish,Damselfish,NA,5,0.026,2.926,0.9514748,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CHCY,Chrysiptera cyanea,Chrysiptera cyanea,NA,Species,Chrysiptera,Pomacentridae,Sapphire Devil,Damselfish,Damselfish,NA,8,0.0294,2.95049999,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
CHGL,Chrysiptera glauca,Chrysiptera glauca,NA,Species,Chrysiptera,Pomacentridae,Grey Demoiselle,Damselfish,Damselfish,NA,8,0.0217,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CHHE,Chrysiptera hemicyanea,Chrysiptera hemicyanea,NA,Species,Chrysiptera,Pomacentridae,Azure Damsel,Damselfish,Damselfish,NA,7,0.026,2.926,0.9337068,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CHRX,Chrysiptera rex,Chrysiptera rex,NA,Species,Chrysiptera,Pomacentridae,King Damsel,Damselfish,Damselfish,NA,7,0.026,2.926,0.9633911,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CHRO,Chrysiptera rollandi,Chrysiptera rollandi,NA,Species,Chrysiptera,Pomacentridae,Rolland's Damsel,Damselfish,Damselfish,NA,6,0.026,2.926,0.9569378,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CHTB,Chrysiptera talboti,Chrysiptera talboti,NA,Species,Chrysiptera,Pomacentridae,Talbot's Damsel,Damselfish,Damselfish,NA,6,0.026,2.926,0.9578544,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CHTA,Chrysiptera taupou,Chrysiptera taupou,NA,Species,Chrysiptera,Pomacentridae,Southseas Devil,Damselfish,Damselfish,NA,8,0.02199,3.00115,0.97,FL,0.96,0.97,H,Herbivore,PRIMARY,Kulbicki 2005
CHTY,Chrysiptera traceyi,Chrysiptera traceyi,NA,Species,Chrysiptera,Pomacentridae,Tracey's Demoiselle,Damselfish,Damselfish,NA,4.5,0.026,2.926,0.96,FL,NA,0.96,H,Herbivore,PRIMARY,Kulbicki Chrysiptera mean
CHUM,Chrysiptera unimaculata,Chrysiptera unimaculata,NA,Species,Chrysiptera,Pomacentridae,Onespot Damsel,Damselfish,Damselfish,NA,10,0.026,2.926,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Chrysiptera spp.
CIBA,Cirrhilabrus balteatus,Cirrhilabrus balteatus,NA,Species,Cirrhilabrus,Labridae,Girdled Wrasse,Wrasse,Wrasse,NA,10,0.0107,3.178,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Labridae mean
CIEX,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,NA,Species,Cirrhilabrus,Labridae,Exquisite Wrasse,Wrasse,Wrasse,NA,12,0.014,3.0097,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
CIFM,Cirrhilabrus filamentosus,Cirrhilabrus filamentosus,NA,Species,Cirrhilabrus,Labridae,Whip-Fin Wrasse,Wrasse,Wrasse,NA,8,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CIFV,Cirrhilabrus flavidorsalis,Cirrhilabrus flavidorsalis,NA,Species,Cirrhilabrus,Labridae,Yellowfin Fairy Wrasse,Wrasse,Wrasse,NA,7,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CIHM,Cirrhilabrus humanni,Cirrhilabrus humanni,NA,Species,Cirrhilabrus,Labridae,Humann's Fairy-Wrasse,Wrasse,Wrasse,NA,7,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CIJO,Cirrhilabrus jordani,Cirrhilabrus jordani,NA,Species,Cirrhilabrus,Labridae,Flame Wrasse,Wrasse,Wrasse,NA,10,0.0107,3.178,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Labridae mean
CIKA,Cirrhilabrus katherinae,Cirrhilabrus katherinae,NA,Species,Cirrhilabrus,Labridae,Katherine's Wrasse,Wrasse,Wrasse,NA,9,0.014,3.0097,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
CILK,Cirrhilabrus lubbocki,Cirrhilabrus lubbocki,NA,Species,Cirrhilabrus,Labridae,Lubbock's Wrasse,Wrasse,Wrasse,NA,8,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CILU,Cirrhilabrus luteovittatus,Cirrhilabrus luteovittatus,NA,Species,Cirrhilabrus,Labridae,Yellowband Wrasse,Wrasse,Wrasse,NA,12,0.0107,3.178,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Labridae mean
CIPU,Cirrhilabrus punctatus,Cirrhilabrus punctatus,NA,Species,Cirrhilabrus,Labridae,Dotted Wrasse,Wrasse,Wrasse,NA,13,0.0138,3.018,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
CIPY,Cirrhilabrus pylei,Cirrhilabrus pylei,NA,Species,Cirrhilabrus,Labridae,Pyle's Wrasse,Wrasse,Wrasse,NA,9,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CIRU,Cirrhilabrus rubrimarginatus,Cirrhilabrus rubrimarginatus,NA,Species,Cirrhilabrus,Labridae,Redmargin Wrasse,Wrasse,Wrasse,NA,12,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CISC,Cirrhilabrus scottorum,Cirrhilabrus scottorum,NA,Species,Cirrhilabrus,Labridae,Scott's Wrasse,Wrasse,Wrasse,NA,13,0.0138,3.018,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
CISO,Cirrhilabrus solorensis,Cirrhilabrus solorensis,NA,Species,Cirrhilabrus,Labridae,Red-Eye Wrasse,Wrasse,Wrasse,NA,11,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CILB,Cirrhilabrus sp.,Cirrhilabrus sp,NA,Genus,Cirrhilabrus,Labridae,Cirrhilabrus sp.,Wrasse,Wrasse,NA,15,0.014,3.0097,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
CITE,Cirrhilabrus temminckii,Cirrhilabrus temminckii,NA,Species,Cirrhilabrus,Labridae,Threadfin Wrasse,Wrasse,Wrasse,NA,9.9,0.0138,3.018,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
CITO,Cirrhilabrus tonozukai,Cirrhilabrus tonozukai,NA,Species,Cirrhilabrus,Labridae,Tono's Wrasse,Wrasse,Wrasse,NA,8,0.00761,3.105,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Labroides dimidiatus 
CIAP,Cirrhitichthys aprinus,Cirrhitichthys aprinus,NA,Species,Cirrhitichthys,Cirrhitidae,Spotted Hawkfish,Rare_Families,Hawkfish,NA,13,0.0138,3.117,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Cirrhitichthys oxycephalus
CIFL,Cirrhitichthys falco,Cirrhitichthys falco,NA,Species,Cirrhitichthys,Cirrhitidae,Dwarf Hawkfish,Rare_Families,Hawkfish,NA,9,0.0172,2.977,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
CIOX,Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,NA,Species,Cirrhitichthys,Cirrhitidae,Coral Hawkfish,Rare_Families,Hawkfish,NA,12,0.0172,2.977,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for CIFL
HAWK,Cirrhitidae,Cirrhitidae,NA,Family,Cirrhitidae,Cirrhitidae,Cirrhitidae,Rare_Families,Hawkfish,NA,29,0.0165,3.1253,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
CIFA,Cirrhitops fasciatus,Cirrhitops fasciatus,NA,Species,Cirrhitops,Cirrhitidae,Redbarred Hawkfish,Rare_Families,Hawkfish,NA,12,0.017,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
CIHU,Cirrhitops hubbardi,Cirrhitops hubbardi,NA,Species,Cirrhitops,Cirrhitidae,Whitespotted Hawkfish,Rare_Families,Hawkfish,NA,7.5,0.00929,3.268,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Cirrhitidae mean
CIPI,Cirrhitus pinnulatus,Cirrhitus pinnulatus,NA,Species,Cirrhitus,Cirrhitidae,Stocky Hawkfish,Rare_Families,Hawkfish,NA,30,0.0214,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
CIOB,Cirripectes obscurus,Cirripectes obscurus,NA,Species,Cirripectes,Blenniidae,Gargantuan Blenny,Rare_Families,Blenny,NA,10,0.013,3.15,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Cirripectes spp.
CIPO,Cirripectes polyzona,Cirripectes polyzona,NA,Species,Cirripectes,Blenniidae,Barred Blenny,Rare_Families,Blenny,NA,10,0.0021,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CISE,Cirripectes sebae,Cirripectes sebae,NA,Species,Cirripectes,Blenniidae,Red-Speckled Blenny,Rare_Families,Blenny,NA,10,0.013,3.15,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Cirripectes spp.
CISP,Cirripectes sp.,Cirripectes sp,NA,Genus,Cirripectes,Blenniidae,Cirripectes sp.,Rare_Families,Blenny,NA,10,0.01304,3.14966,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki 2005
CISR,Cirripectes springeri,Cirripectes springeri,NA,Species,Cirripectes,Blenniidae,Springer's Blenny,Rare_Families,Blenny,NA,10,0.0061,2.9963,1,?,NA,NA,H,Herbivore,PRIMARY,FB mean for genus
CIST,Cirripectes stigmaticus,Cirripectes stigmaticus,NA,Species,Cirripectes,Blenniidae,Red-Streaked Blenny,Rare_Families,Blenny,NA,10,0.0207,2.906,1,TL,NA,NA,H,Herbivore,PRIMARY,FishBase
CIVA,Cirripectes vanderbilti,Cirripectes vanderbilti,NA,Species,Cirripectes,Blenniidae,Scarface Blenny,Rare_Families,Blenny,NA,11,0.0061,2.9963,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for genus
CIVR,Cirripectes variolosus,Cirripectes variolosus,NA,Species,Cirripectes,Blenniidae,Red-Speckled Blenny,Rare_Families,Blenny,NA,10,0.0061,2.9963,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for genus
COCI,Conger cinereus,Conger cinereus,NA,Species,Conger,Congridae,Longfin African Conger,Rare_Families,Conger or Garden Eel,Y,110,8.00E-04,3.12681,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CONG,Congridae,Congridae,NA,Family,Congridae,Congridae,Congridae,Rare_Families,Conger or Garden Eel,Y,108,0.001695,2.975545,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
COCH,Coradion chrysozonus,Coradion chrysozonus,NA,Species,Coradion,Chaetodontidae,Goldengirdled Coralfish,Butterflyfish,Butterflyfish,NA,15,0.0468,2.758,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB
COAY,Coris aygula,Coris aygula,NA,Species,Coris,Labridae,Clown Coris,Wrasse,Wrasse,NA,120,0.00266,3.48857,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
COBA,Coris ballieui,Coris ballieui,NA,Species,Coris,Labridae,Lined Coris,Wrasse,Wrasse,NA,30,0.0065,3.254,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Coris mean
COBT,Coris batuensis,Coris batuensis,NA,Species,Coris,Labridae,Batu Coris,Wrasse,Wrasse,NA,15.1,0.0065,3.254,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Coris mean
COCE,Coris centralis,Coris centralis,NA,Species,Coris,Labridae,Central Pacific Coris,Wrasse,Wrasse,NA,15,0.0065,3.254,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Coris mean
CODO,Coris dorsomacula,Coris dorsomacula,NA,Species,Coris,Labridae,Palebarred Coris,Wrasse,Wrasse,NA,20,0.0065,3.254,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Coris mean
COFL,Coris flavovittata,Coris flavovittata,NA,Species,Coris,Labridae,Yellowstripe Coris,Wrasse,Wrasse,NA,65,0.0352,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,NA
COGA,Coris gaimard,Coris gaimard,NA,Species,Coris,Labridae,Yellowtail Coris,Wrasse,Wrasse,NA,40,0.0109,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
COPI,Coris pictoides,Coris pictoides,NA,Species,Coris,Labridae,Blackstripe Coris,Wrasse,Wrasse,NA,15,0.00992,3,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Coris venusta
COVE,Coris venusta,Coris venusta,NA,Species,Coris,Labridae,Elegant Coris,Wrasse,Wrasse,NA,20,0.0065,3.254,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Coris mean
COFU,Coryphopterus sp.,Coryphopterus sp,NA,Genus,Coryphopterus,Gobiidae,Coryphopterus sp.,Rare_Families,Goby,Y,7,0.0213,2.8235,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
COFF,Corythoichthys flavofasciatus,Corythoichthys flavofasciatus,NA,Species,Corythoichthys,Syngnathidae,Network Pipefish,Rare_Families,Pipefishes and seahorses,Y,12,0.001,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
CTBI,Ctenochaetus binotatus,Ctenochaetus binotatus,NA,Species,Ctenochaetus,Acanthuridae,Twospot Surgeonfish,Surgeonfish,Surgeonfish,NA,22,0.03916,2.87463,0.91,FL,0.87,0.91,H,Herbivore,PRIMARY,Kulbicki 2005
CTCY,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,NA,Species,Ctenochaetus,Acanthuridae,Bluelip Bristletooth,Surgeonfish,Surgeonfish,NA,20,0.0233,3.0559,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for CTSR
CTFL,Ctenochaetus flavicauda,Ctenochaetus flavicauda,NA,Species,Ctenochaetus,Acanthuridae,Pale-Tailed/Whitetail Bristletooth,Surgeonfish,Surgeonfish,NA,17,0.0233,3.0559,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for CTSR
CTHA,Ctenochaetus hawaiiensis,Ctenochaetus hawaiiensis,NA,Species,Ctenochaetus,Acanthuridae,Chevron Tang,Surgeonfish,Surgeonfish,NA,28,0.0162,3.0123,1,TL,1,NA,H,Herbivore,PRIMARY,FB value for genus
CTMA,Ctenochaetus marginatus,Ctenochaetus marginatus,NA,Species,Ctenochaetus,Acanthuridae,Striped-Fin Surgeonfish,Surgeonfish,Surgeonfish,NA,29,0.0237,3.056,0.95,FL,0.9,0.95,H,Herbivore,PRIMARY,Kulbicki at genus level
CTSP,Ctenochaetus sp.,Ctenochaetus sp,NA,Genus,Ctenochaetus,Acanthuridae,Ctenochaetus sp.,Surgeonfish,Surgeonfish,NA,30,0.02371,3.05581,0.92,FL,0.9,0.92,H,Herbivore,PRIMARY,Kulbicki 2005
CTSR,Ctenochaetus striatus,Ctenochaetus striatus,NA,Species,Ctenochaetus,Acanthuridae,Striated Surgeonfish,Surgeonfish,Surgeonfish,NA,28,0.02313,3.06347,0.91,FL,0.88,0.91,H,Herbivore,PRIMARY,Kulbicki 2005
CTST,Ctenochaetus strigosus,Ctenochaetus strigosus,NA,Species,Ctenochaetus,Acanthuridae,Spotted Surgeonfish,Surgeonfish,Surgeonfish,NA,24,0.022,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CTTO,Ctenochaetus tominiensis,Ctenochaetus tominiensis,NA,Species,Ctenochaetus,Acanthuridae,Yellow-Tipped Bristletooth,Surgeonfish,Surgeonfish,NA,18,0.02371,3.05581,0.92,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Ctenochaetus spp.
CTPO,Ctenogobiops pomastictus,Ctenogobiops pomastictus,NA,Species,Ctenogobiops,Gobiidae,Gold-Specked Prawn-Goby,Rare_Families,Goby,Y,8,0.0264,2.623,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Gobiidae mean
CTSS,Ctenogobiops sp.,Ctenogobiops sp,NA,Genus,Ctenogobiops,Gobiidae,Ctenogobiops sp.,Rare_Families,Goby,Y,8.8,0.0264,2.623,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Gobiidae mean
CTTA,Ctenogobiops tangaroai,Ctenogobiops tangaroai,NA,Species,Ctenogobiops,Gobiidae,Tangaroa,Rare_Families,Goby,Y,6,0.0096,3.0178,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
CYLE,Cymolutes lecluse,Cymolutes lecluse,NA,Species,Cymolutes,Labridae,Sharp-Headed Wrasse,Wrasse,Wrasse,NA,18,0.0107,3.178,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
CYPR,Cymolutes praetextatus,Cymolutes praetextatus,NA,Species,Cymolutes,Labridae,Knifefish,Wrasse,Wrasse,NA,20,0.0107,3.178,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
CYPO,Cyprinocirrhites polyactis,Cyprinocirrhites polyactis,NA,Species,Cyprinocirrhites,Cirrhitidae,Swallowtail Hawkfish,Rare_Families,Hawkfish,NA,15,0.0138,3.117,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Cirrhitichthys oxycephalus
DAAL,Dascyllus albisella,Dascyllus albisella,NA,Species,Dascyllus,Pomacentridae,Hawaiian Dascyllus,Damselfish,Damselfish,NA,12,0.0462,2.911,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Dascyllus mean
DAAR,Dascyllus aruanus,Dascyllus aruanus,NA,Species,Dascyllus,Pomacentridae,Whitetail Dascyllus,Damselfish,Damselfish,NA,8,0.04151,2.98888,0.96,FL,0.92,0.96,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
DAAU,Dascyllus auripinnis,Dascyllus auripinnis,NA,Species,Dascyllus,Pomacentridae,Golden Dascyllus,Damselfish,Damselfish,NA,16,0.0327,2.8561,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
DAME,Dascyllus melanurus,Dascyllus melanurus,NA,Species,Dascyllus,Pomacentridae,Blacktail Humbug,Damselfish,Damselfish,NA,8,0.0415,2.989,0.9596929,FL,NA,NA,Om,Omnivore,SECONDARY,Kulbicki for DAAR
DARE,Dascyllus reticulatus,Dascyllus reticulatus,NA,Species,Dascyllus,Pomacentridae,Reticulate Dascyllus,Damselfish,Damselfish,NA,8,0.03111,3.13271,0.95,FL,0.944,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
DATR,Dascyllus trimaculatus,Dascyllus trimaculatus,NA,Species,Dascyllus,Pomacentridae,Threespot Dascyllus,Damselfish,Damselfish,NA,14,0.03132,3.04325,0.98,FL,0.96,0.98,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
DASY,Dasyatidae,Dasyatidae,NA,Family,Dasyatidae,Dasyatidae,Dasyatidae,Rare_Families,Stingray,NA,187,0.00937,3.35249,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
DALA,Dasyatis lata,Dasyatis lata,NA,Species,Dasyatis,Dasyatidae,Broad Stingray,Stingray,Stingray,NA,100,0.00937,3.35249,1,WD,1,1,MI,Mobile invertivore,SECONDARY,NA
MISS,Data Lost,Data lost,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NA,NONFISH,NONFISH,NONFISH,1,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH
DEMA,Decapterus macarellus,Decapterus macarellus,NA,Species,Decapterus,Carangidae,Mackerel Scad,Jack,Jack,NA,35,0.0078,3.14,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
DOLP,Delphinidae,Delphinidae,NA,Family,Delphinidae,Delphinidae,Delphinidae,Rare_Families,Dolphin,NA,NONFISH,NONFISH,NONFISH,1,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,NONFISH,Dolphin
DEBA,Dendrochirus barberi,Dendrochirus barberi,NA,Species,Dendrochirus,Scorpaenidae,Hawaiian Lionfish,Rare_Families,Scorpionfish,Y,16.5,0.0246,2.908,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Scorpaenidae mean
DEBI,Dendrochirus biocellatus,Dendrochirus biocellatus,NA,Species,Dendrochirus,Scorpaenidae,Twospot Turkeyfish,Rare_Families,Scorpionfish,Y,12,0.0246,2.908,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki Scorpaenidae mean
DIME,Diagramma melanacrum,Diagramma melanacrum,NA,Species,Diagramma,Haemulidae,Blackfin Slatey,Rare_Families,Grunt,NA,45,0.0126,3.079,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for P. lineatus
DIPI,Diagramma pictum,Diagramma pictum,NA,Species,Diagramma,Haemulidae,Painted Sweetlips,Rare_Families,Grunt,NA,75,0.0144,2.988,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
DIHO,Diodon holocanthus,Diodon holocanthus,NA,Species,Diodon,Diodontidae,Long-Spine Porcupinefish,Porcupinefish,Porcupinefish,NA,38,0.0678,2.784,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Diodontidae mean
DIHY,Diodon hystrix,Diodon hystrix,NA,Species,Diodon,Diodontidae,Spot-Fin Porcupinefish,Porcupinefish,Porcupinefish,NA,91,0.19343,2.47179,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
DILI,Diodon liturosus,Diodon liturosus,NA,Species,Diodon,Diodontidae,Black-Blotched Porcupinefish,Porcupinefish,Porcupinefish,NA,50,0.0678,2.784,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Diodontidae mean
PORC,Diodontidae,Diodontidae,NA,Family,Diodontidae,Diodontidae,Diodontidae,Porcupinefish,Porcupinefish,NA,75,0.0678,2.78382,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
